,Title,Review,Rating
36,Don't waste your money,"Battery backup is the only thing what u can get out of these headset. Previously was using OnePlus bullets wireless Z but after purchasing this , I can clearly say that boat headset stands nowhere infront of OnePlus headsets. Really very disappointed with the headset. Was not expecting this kind of service from Boat. Can't give 0 stars so giving one star or else it's not even giving one star.",1
37,Utterly Disappointed,"Sound quality is very poor.
Magnetic buds easily deattach from each other inthe sense magnetic power is not good its very bad
Music control keys are worst. Not responding, very slow response

Overall waste of money!!!",1
38,Horrible,Boat quality is not good.,1
39,Useless product,Software issues. When I play the song it automatically stops and plays automatically. But it's Sound and Bass is too Good and also battery backups.,1
40,Very poor,"High in weight, loss of money only",1
41,Very poor,"Youtube video and status video and gaming sound is not working.. This product is only 10 days, so this problem i face i'm disappointed",1
42,Worst experience ever!,Not working after 1 month,1
43,Unsatisfactory,"Very much much disappointed. Sound stops automatically and then again start without touching any button. Realme sound quality is far better at the same price range. Battery is good. Band Length is too long. Doesn't stick with the neck. Becomes straight easily. So it is difficult to listen with one side as other side hangs too much below the neck. Do not buy I repeat. Do not buy. ""Boat is just a good brand name without quality""",1
44,Did not meet expectations,Sound quality is the best👍💯,1
45,Absolute rubbish!,Keeps on disconnecting,1
46,Unsatisfactory,buying 3 days after we faced connectivity issue..,1
47,Useless product,Not suitable for neck seating,1
48,Unsatisfactory,"Initially the product was good I used to get 7to8 days in a single recharge, after 3 months it's mic had a problem and I got it replaced but when the new product came I am getting battery backup for Just 3days it is rediculous, I think boat is giving refurbished products when replacement is coming, I am totally disappointed",1
49,Did not meet expectations,Sound problem and one side low volume,1
50,Waste of money!,Very bad and not interested with flipkart,1
51,Did not meet expectations,Don't buy it it's old n damaged product,1
52,Hated it!,No premium feel,1
53,Don't waste your money,Delivery time is too long,1
54,Worst experience ever!,"Noise in background, not comfortable , overall a bad quality dont purchase it.",1
55,Waste of money!,"the product is pathetic, stopped working within 2 weeks of purchase, Do Not buy",1
56,Horrible,"Worst product don't buy. They even don't accept returns.
World's worst product product ever I have seen.",1
57,Not recommended at all,Flipkart is very ghatiya,1
58,Unsatisfactory,Vary bad,1
59,Waste of money!,"After aweak, one side code volume does not heatable",1
60,Not recommended at all,Ok but mic problem always,1
61,Very poor,"Sound was good but it stopped working after 2 months also battery backup got reduced, initially it was used to work for 3-4 days now 1 and half day is enough",1
62,Useless product,Worst product... After 2 months not powering on,1
63,Worst experience ever!,Don't go for this wirst boat product ever ...after usage of 1 week its starting creating irritating sound on right side worst product,1
64,Horrible,If you are buying this For Pubg.... Don't buy it... Because the voice of bullets and other music came too late,1
65,Utterly Disappointed,"Very Poor quality product, not charging properly getting power off in between. 3 times given complaints but problem not resolved permanently.
This is my first ever experience of boat product.
Very disappointed ☹️☹️",1
66,Hated it!,Very bad product,1
67,Terrible product,Today I had buy this product. But not satisfy because call volume is low,1
68,Waste of money!,Average,1
69,Absolute rubbish!,"received a defective Item..
Volume + button is ot working properly..
Disappointed aftr receiving defective item",1
70,Very poor,Stopped working after 1 month,1
71,Useless product,"The waste products of boat

I use 10 day and not working
Waste of money",1
72,Horrible,These headphones do not have a mic. This is bad headphones,1
73,Not recommended at all,Utter failed,1
74,Useless product,Very bad product,1
75,Hated it!,Stopped working after 8 months..,1
76,Terrible product,It is very bad product and return policy is very bad and irritating. And customer support very painful. I suggest everyone that if buy this product is your risk,1
77,Did not meet expectations,Very bad,1
78,Worst experience ever!,"Bass is very less, calling time sound not clear",1
79,Worst experience ever!,Initially it working good but some days later it may cause irritation in your ear,1
80,Hated it!,Bad product,1
81,Hated it!,Totally bad experience,1
82,Worthless,Not like for it,1
83,Don't waste your money,This products sounds quality is not good,1
84,Absolute rubbish!,"This is price vry high , but product not price good...",1
85,Worthless,Product is bad,1
86,Hated it!,Indian make products is very low price best quality but this Chinese products very costly low quality,1
87,Terrible product,Metriyal waste,1
88,Utterly Disappointed,Frequently disconnecting Bluetooth connectivity,1
89,Waste of money!,Bad product at all....Flipkart is not supposed to return this product....bad service by Flipkart,1
90,Don't waste your money,After using three months this product Stop working suddenly.... This product is not water resistant infect you need to protect from swate too. So if you are thinking of buying this because of water resistant rating then don't buy battery backup is ok upto one day after using continue. Voice quality is ok and sound quality is bad in full volume (70-80% is good).,1
91,Worst experience ever!,Waste of money,1
92,Don't waste your money,It not working one side,1
93,Very poor,Very bad quality,1
94,Useless product,Left speaker is not really working properly not good go fot one plus,1
95,Absolute rubbish!,Low quality,1
96,Don't waste your money,Very bed,1
97,Did not meet expectations,Not satisfied,1
98,Very poor,After few days one side earphone not working,1
99,Not recommended at all,Poor quality waste of money,1
100,Worthless,"Bluetooth connectivity is very poor..
After on or off bluetooth not connect to mobile",1
101,Not recommended at all,Bud weight is not proper,1
102,Useless product,Hated hated hated,1
103,Fabulous!,"Battery backup is awesome😌 , used for about ten hours and only 10 percent battery was used up , 4/5 for build quality , would have been better. Sound and bass is awesome, a big thumbs up for that, fits in ear👂perfectly,
I bought it because of its long battery backup, and it stood upto my expectations👍
Thank you Bo⛵t

❤️❤️❤️",5
104,Utterly Disappointed,Product and Product material is very bad 😞 bad,1
105,Terrible product,"Its only 7 months I bought this product. It was convenient for me to use. Sound,Bass everything is good but. It said it has water & sweat resistance power. I never worked out wearing these not splashed any water but still one side stopped working in 1 second without any warning. I feel like I wasted my money in this. Wired earphones work longer than this.",1
106,Absolute rubbish!,Automatically Disconnected so many times.,1
107,Worst experience ever!,"everything is good expect built quality......built quality is very very poor another disadvantage is that when you use the earphone you feel pain in your ear bcz it is heavy specially right side buds and this is bcz heavy microphone, charge socket........you can't run with it bcz due to weight it stick out from your ear
Thanks",1
108,Worst experience ever!,"Worst Product Quality Ever,,It just stop working on one side after 15 Days,,",1
109,Very poor,Bakwas flipkart,1
110,Very poor,It's very bad sound quality,1
111,Very poor,After 1 month used right side speaker not working.,1
112,Waste of money!,"Very very bad experience

Sound problem, i.e if u call someone then other person doesn't hear u.

And Their is no replacement option only return .
This is not acceptable .",1
113,Hated it!,1 side stopped working in just 20 days .... Don't know What to do now,1
114,Did not meet expectations,Very bad,1
115,Utterly Disappointed,"Fitting of the earphone is not good at all sound is ok but the main issue is the fitting of the product... worst fitting ever , the seller is not accepting the return so in short waste of time and money .... Please don't buy",1
116,Waste of money!,Worst product quality...never buy this product...sound quality is going down day by day never bye this product,1
117,Worst experience ever!,"Power button is not working properly, and when was I used this with in 4days power button is not working",1
118,Did not meet expectations,Right side speaker comes slowly ..,1
119,Unsatisfactory,Don't buy waste of money plz don't buy😡😡😡😡😡😡😡😡😡😯😡🤬🤬😡🤬🤬😡😡🤬🤬😡😡😡😡😡😡🤬🤬😡🤬😡😡🤬😡😡😡😡😡🤬🤬🤬😡😡😡😡😡😡😡😡😡😯😯😡🤬🤬😡bluetooth connectivity is not working properly,1
120,Worst experience ever!,"Very very bad experience this time with flip cart.
They cheated this time. They send me cheap mivi earphones instead of boat and didnt make an exchange or refund. Definitely this was my last order to flipkart.",1
121,Utterly Disappointed,Automatic disconnect,1
122,Absolute rubbish!,Not a good product to buy. Connectivity is weak when riding bike,1
123,Don't waste your money,"So I ordered this product. First time I got the product with a faulty right earphone that makes constant crackling sound while playing the music or videos, so I replaced them. Second time, the earphones were working well for a few days. After sometime the same crackling sound started coming from the right earphone. I guess this is fault in all of these earphones. So please don't order these if u don't want your money to go waste.",1
124,Did not meet expectations,"Very poor quality goods
Flipkart customer reviews relantionship very poor",1
125,Did not meet expectations,It's build quality is not good. May be some design fault on this model because it is not fitted properly in ears and it feels very uncomfortable. One plus z bass headphone is much better than this .,1
126,Absolute overhyped!!!! Simply Not worth,"The Product is over-hyped in terms of sound and quality. Yes, it is economical in terms of Price and features it is providing. My Experience is, it is creating distorting sound when plugged inside ears. Also in a couple of minutes the ear plugs make ear pain which is unacceptable from comfort perspective.
Overall, not a great experience using these earphones",1
127,Hated it!,"Earphones are good in sound everything is perfectly fine but the biggest issue from which you e going to suffer is that boat gives the buttons box just near down to the right earbuds so, you will fell weight at right side of your ear and the earbuds will fall from ear due to button box weight. And it is really unexpected from boat.. Go for other earphones",1
128,Terrible product,Having noise cancellation issues during calls other person not able to listen due to loud back ground noise even in office hours,1
129,Unsatisfactory,Build material very ordinary it looks very cheap.,1
130,Terrible product,Mic is not working,1
131,Waste of money!,Thay give me wrong item this is not 255f pro plus. Audio Technology aptx not in hear. But good for valu products.,1
132,Very poor,Sound quality very bed,1
133,Very poor,Not working after 1.5month 😔,1
134,Terrible product,After 7 Months of Use Charging Port is not Working .,1
135,Hated it!,Worst product i have purchased. Never recommend this product.,1
136,Did not meet expectations,Very poor performance and bty get suddenly down and didn't get connected automatically every time to require charge first then connected to PHON,1
137,Worthless,Waste product.. not working after 3 months,1
138,Terrible product,The product is not working well I wanted replacement,1
139,Unsatisfactory,Bad this not boat company wast,1
140,Horrible,Dont buy v baad product,1
141,Don't waste your money,"Battery backup is the only thing what u can get out of these headset. Previously was using OnePlus bullets wireless Z but after purchasing this , I can clearly say that boat headset stands nowhere infront of OnePlus headsets. Really very disappointed with the headset. Was not expecting this kind of service from Boat. Can't give 0 stars so giving one star or else it's not even giving one star.",1
142,Utterly Disappointed,"Sound quality is very poor.
Magnetic buds easily deattach from each other inthe sense magnetic power is not good its very bad
Music control keys are worst. Not responding, very slow response

Overall waste of money!!!",1
143,Horrible,Boat quality is not good.,1
144,Useless product,Software issues. When I play the song it automatically stops and plays automatically. But it's Sound and Bass is too Good and also battery backups.,1
145,Very poor,"High in weight, loss of money only",1
146,Very poor,"Youtube video and status video and gaming sound is not working.. This product is only 10 days, so this problem i face i'm disappointed",1
147,Worst experience ever!,Not working after 1 month,1
148,Unsatisfactory,"Very much much disappointed. Sound stops automatically and then again start without touching any button. Realme sound quality is far better at the same price range. Battery is good. Band Length is too long. Doesn't stick with the neck. Becomes straight easily. So it is difficult to listen with one side as other side hangs too much below the neck. Do not buy I repeat. Do not buy. ""Boat is just a good brand name without quality""",1
149,Did not meet expectations,Sound quality is the best👍💯,1
150,Absolute rubbish!,Keeps on disconnecting,1
151,Unsatisfactory,buying 3 days after we faced connectivity issue..,1
152,Useless product,Not suitable for neck seating,1
153,Unsatisfactory,"Initially the product was good I used to get 7to8 days in a single recharge, after 3 months it's mic had a problem and I got it replaced but when the new product came I am getting battery backup for Just 3days it is rediculous, I think boat is giving refurbished products when replacement is coming, I am totally disappointed",1
154,Did not meet expectations,Sound problem and one side low volume,1
155,Waste of money!,Very bad and not interested with flipkart,1
156,Did not meet expectations,Don't buy it it's old n damaged product,1
157,Hated it!,No premium feel,1
158,Don't waste your money,Delivery time is too long,1
159,Worst experience ever!,"Noise in background, not comfortable , overall a bad quality dont purchase it.",1
160,Waste of money!,"the product is pathetic, stopped working within 2 weeks of purchase, Do Not buy",1
161,Horrible,"Worst product don't buy. They even don't accept returns.
World's worst product product ever I have seen.",1
162,Not recommended at all,Flipkart is very ghatiya,1
163,Unsatisfactory,Vary bad,1
164,Waste of money!,"After aweak, one side code volume does not heatable",1
165,Not recommended at all,Ok but mic problem always,1
166,Very poor,"Sound was good but it stopped working after 2 months also battery backup got reduced, initially it was used to work for 3-4 days now 1 and half day is enough",1
167,Useless product,Worst product... After 2 months not powering on,1
168,Worst experience ever!,Don't go for this wirst boat product ever ...after usage of 1 week its starting creating irritating sound on right side worst product,1
169,Horrible,If you are buying this For Pubg.... Don't buy it... Because the voice of bullets and other music came too late,1
170,Utterly Disappointed,"Very Poor quality product, not charging properly getting power off in between. 3 times given complaints but problem not resolved permanently.
This is my first ever experience of boat product.
Very disappointed ☹️☹️",1
171,Hated it!,Very bad product,1
172,Terrible product,Today I had buy this product. But not satisfy because call volume is low,1
173,Waste of money!,Average,1
174,Absolute rubbish!,"received a defective Item..
Volume + button is ot working properly..
Disappointed aftr receiving defective item",1
175,Very poor,Stopped working after 1 month,1
176,Useless product,"The waste products of boat

I use 10 day and not working
Waste of money",1
177,Horrible,These headphones do not have a mic. This is bad headphones,1
178,Not recommended at all,Utter failed,1
179,Useless product,Very bad product,1
180,Hated it!,Stopped working after 8 months..,1
181,Terrible product,It is very bad product and return policy is very bad and irritating. And customer support very painful. I suggest everyone that if buy this product is your risk,1
182,Did not meet expectations,Very bad,1
183,Worst experience ever!,"Bass is very less, calling time sound not clear",1
184,Worst experience ever!,Initially it working good but some days later it may cause irritation in your ear,1
185,Hated it!,Bad product,1
186,Hated it!,Totally bad experience,1
187,Worthless,Not like for it,1
188,Don't waste your money,This products sounds quality is not good,1
189,Absolute rubbish!,"This is price vry high , but product not price good...",1
190,Worthless,Product is bad,1
191,Hated it!,Indian make products is very low price best quality but this Chinese products very costly low quality,1
192,Terrible product,Metriyal waste,1
193,Utterly Disappointed,Frequently disconnecting Bluetooth connectivity,1
194,Waste of money!,Bad product at all....Flipkart is not supposed to return this product....bad service by Flipkart,1
195,Don't waste your money,After using three months this product Stop working suddenly.... This product is not water resistant infect you need to protect from swate too. So if you are thinking of buying this because of water resistant rating then don't buy battery backup is ok upto one day after using continue. Voice quality is ok and sound quality is bad in full volume (70-80% is good).,1
196,Worst experience ever!,Waste of money,1
197,Don't waste your money,It not working one side,1
198,Very poor,Very bad quality,1
199,Useless product,Left speaker is not really working properly not good go fot one plus,1
200,Absolute rubbish!,Low quality,1
201,Don't waste your money,Very bed,1
202,Did not meet expectations,Not satisfied,1
203,Very poor,After few days one side earphone not working,1
204,Not recommended at all,Poor quality waste of money,1
205,Worthless,"Bluetooth connectivity is very poor..
After on or off bluetooth not connect to mobile",1
206,Not recommended at all,Bud weight is not proper,1
207,Useless product,Hated hated hated,1
208,Fabulous!,"Battery backup is awesome😌 , used for about ten hours and only 10 percent battery was used up , 4/5 for build quality , would have been better. Sound and bass is awesome, a big thumbs up for that, fits in ear👂perfectly,
I bought it because of its long battery backup, and it stood upto my expectations👍
Thank you Bo⛵t

❤️❤️❤️",5
209,Utterly Disappointed,Product and Product material is very bad 😞 bad,1
210,Worth every penny,"Comparison Between Boat 225 , Realme Buds 2, Sennheiser CX 180

Bass:-
#1 Realme Buds 2 (Excellent Extra Bass)
#2 Boat 225 ( It has also a good extra bass but not good as Realme Buds 2)
#3 Sennheiser CX 180( it has no extra bass but the bass is just perfect when it required u feels a great bass)


Build:-

#1 Boat 225 ( boat is clearly winner on its build quality it feels more premiums than other two with its metal build and tangle free wire)

#2 Realme Buds 2 ( It has also have a great build...
READ MORE",5
211,Classy product,"outstanding product best sound, good Bass, clear sound"" good job ""REALME ...👌👌👌",5
212,Terrific,Unbelievable bass And very clear audio ear protection very strong I really prefer to purchase this fantastic realme buds thank you very much realme,5
213,Terrific purchase,The build quality is really good and the design also looks great. The magnets of earbuds are also really useful. The best part is the cable organizer which is really useful. The bass is good and the sound quality is also good you will not be disappointed buying this product at this price. The call quality is also good and the placement of buttons is very functional and useful. Buy without any doubt.,5
214,Terrific,"woww fantastic experience 😍 👍 and mainly discuss about this earphones is built quality is awesome 👌👍
im fully satisfied with this earphones 👌👌👍

prons
1. built quality is awesome
2. sound quality is just super
3. bass , treble,mid ranges are just good
4. long and comfortable cable

cons
1. missed L shape jack

finally my overall rating is 9.6 /10",5
215,Mind-blowing purchase,"It's a great product according to the price and its sound quality and bass is perfect.
Realme Buds 2 really its a great headphone.
In this price range best headphone ever.❤️",5
216,Excellent,nice earphones with smooth sound. even the build quality is best . this earphone is better for bass lover . and also for smooth playback,5
217,Pretty good,The best value for money product and also the build quality is good and lite wait and I also like that yellow strip it's very useful,4
218,Brilliant,"Nice product , nice quality , great buss, I love it",5
219,Classy product,Ordered 2 for my sis and my self. Good built quality. Bass Triple are well balanced. Producing wow sound effects with Power amp music player app. Comfortable fit. thanks for extra ear bud. Well and premium packing. On time delivery. Another gadget in my laptop.,5
220,Brilliant,"It's a interesting product so I'm writing this after 24 hours of burn out.. so stay tuned to know the full story.. eartips are silicone tips very comfortable but doesn't stay in my ear much well, but your mileage may vary.. build is great but after receiving my item I noticed scuffs and nylons coming off a little from the part near 3.5 mm port.. otherwise it's built really well.. speakers for calls is tremendous easily putting mi basics to shame.. it's great for people like me who talks a lot...
READ MORE",5
221,Simply awesome,"Best in the market 😍😍😍. Enjoying its feel the real bass 😌😌. Good qualities of wire, comfortable to wear, and great sound quality 🥰🥰 . Value for money 🤑🤑.",5
222,Great product,"Sound quality is really good... Better than boat bass 200,225.. i have used many earphones like JBL , Skullcandy,boat,bout,leaf,bose,sony etc.. but i fell this is also good as leaf bolt ... I love it😍..",5
223,Simply awesome,What a immersive experience on the headphones...when i listen music on them it feels like i'm sitting in any live show... best sound quality i've ever experienced on this price range. superb realme it wroth the price.. Its looks are also cool to see with yellow lines. The button of the remote are tactile and easy to use and differentiate. The sound goes to extreme volume no trouble after long hours of use.,5
224,Fair,"Bass is awesome, a little extra, so people who like bass will love this, I personally like a balanced sound signature, so bass can be turned down just a notch, but treble is waaaayyy too high. It really ruins the experience, it hurts my ears. Mids are pretty good. Build quality is decent. Too much treble ruins the sound quality, that's why 3 stars. If treble was balanced then would have given it 4 or even 5 maybe.",3
225,Worthless,"After using 3 months, having mike issues. When you are playing songs it's good but when you are on call it's not a worthy enough",1
226,Bad quality,"seriously abnormal bass guys...which is a big. negative about this earpiece ... ..i dont know why nobody paid attention to this bass boost feature , which is annoying. ...you will never be able to listen to the originally recorded song ....but will hear abnormal extreme bass in every song you play ..which may not be pleasing ....and you want to turn off the feature ...but you can not coz it is a default feature in this earpiece...sound clarity is good ..build also good ....
...but i wil...
READ MORE",2
227,Very poor,"It's sound fill like ,that I bought a local 50 RS head phone.befour I bought this earphones I used boot220 earphone it's a extremely good earphone and second thing when I open fast time the box after delivery,I saw that, the ear phone Wear cut out and their are no warranty card.",1
228,Simply awesome,"I just want to say that
If you are a bass lover then purchase it instantly 🤗

The bass quality is really really awesome
And also the vocals are very clear
The overall sound quality is perfect and better than I expected

Design and build quality is perfect
And also mic quality is very good

The quality of wire is decent 👌

I am using this from more than 2 months
And I recommend this to everyone in this price segment",5
229,Super!,"Best Earphone i have ever used Because Quality of the Sound is awesome so Balanced and you can experience Classy BASS is here .
Also Build quality is Interesting The Black nd Yellow Work is Awesome I really Like it.
Mic Quality Is so Good and that is inline and Magnetic buds are usefull like Neckband Using while Travelling 😘❤️",5
230,Mind-blowing purchase,"Wohooo😍
Just Awesome
If you are confused, I'm here for you
There is two best earphones in this price segments
1)Boat
2)Realme
Differences:- Boat is cheaper
Realme has magnetic design which helps you to keep the earbuds magnetic attached

Similarities :- both have awesome build quality, best in this price segments
You can purchase any of these two earphones
Just go and check their designs. If you like the design of boat purchase it. Or if you like the design of realme...
READ MORE",5
231,Slightly disappointed,"The sound quality is fine for the price range, but the right side earphone stopped working properly in 3 months usage (lower volume than left side, sometimes, no sound from right side at all).
The mic also would sometimes work but mostly didn't work, after 3 months.",2
232,Worth every penny,"I literally love this product this sound quality is good i use more earphones like boat ,jbl,ubon etc but this earbuds are best
I literally love this mic quality for recording.",5
233,Wonderful,Its a must buy earphn for sure...DESIGN COULD BE BETTWR MAY BE A BETTER COLOUR COMBINATION..who r looking for a wired earphn may be becoz of online meetings n all....they can go for it.....it includes mic and a good grip too for the ears as well as is gentle for the ears....extra buds included too!.....its a #musthave deal,5
234,Worth every penny,Sound quality is amazing and build quantity is also amazing my brother is also using this ear buds 1 for long time and its performance is still very good so I also ordered ear buds 2 and both are amazing and working up to expectations.,5
235,Worth every penny,"Best earphone under 1000
Just go for it
Bass is very good and best for gaming none of the ear phone under 1000 can defeat .",5
236,Brilliant,"Realme rma155 vs boat 225 vs senhieser 180
I have used all of them for 2 year boat , 6month senhiser , currently using realme since 2 week.

Sound quality
Realme 9/10
Boat 8/10
Senhieser 10/10

Volume
Realme 10/10(11.2 mm drivers)
BOat 9/10
Senhieser 7/10

Bass
Realme 9/10
BoAt 10/10
Senhiser 7/10

Build quality
Realme 9/10
Boat 10/10
Senhieser 5/10

If you are only bass lover and don't care about lyrics then go for boat

If you are only true music lover each and every notes matters for y...
READ MORE",5
237,Brilliant,"Best product to buy 🌟🌟🌟🌟🌟
It is good in realme Narzo 10A good base and high quality worth in price 🥰🥰",5
238,Unsatisfactory,sound is good i mean it have very loud sound. but speaking about bass im not too happy with it because bass is soo powerful but not soo clear as jbl have,1
239,Classy product,"It's a allrounder. I used this for playing pubg , footsteps is clearly audible, music is awesome . I suggest you to purchase this earphone if your budget is under 600. I am happy with the product.",5
240,Mind-blowing purchase,"absolutely great product sound quality bass is great I did not expect that ,built quality is also great go & purchase guys but some cons are also there connector is not L shape treble will be improved in next version over all osm product
bass lovers go for this earphones",5
241,Awesome,"Using since May 6th. And it is exceptional. Especially for pubg it's wonderful you can hear the footsteps form where they are coming. There were no problem listing music for long hours. Active noise cancellation is superb you did not hear anything around you when you plug and play.
I previously used Mi basic after 1 year one side went not working. This one has better bass and sound clarity than Mi basic headset. Go for it guys",5
242,Good quality product,"every thing is great in this earphone just lacks clarity a bit and i guess its because of bass.
cable: braided
looks cool with black yellow combination
i like the magnetic earbuds",4
243,Mind-blowing purchase,"sound quality+bass is quiet good , tangled free , and the design is great too , i give it a full 5 stars★★★★★",5
244,Good quality product,"Real me Buds 2 is awesome product, Great sound quality but bass is not up-to the mark. Awesome build quality. Value for money 👌👌👌",4
245,Wonderful,"Sound very good
Punchy bass
Clear sound
But look is not so good especially in green color it’s looks so simple
I mean quality
Overall great purchase",4
246,Not recommended at all,The connectivity of the jack is very bad sometimes it works fine but mostly u have to unplug and replugg it again when it's not working.I have checked it with other hedphones it works fine so it's not a issue with my phone's 3.5mm jack its the headphone plug.REALME please look in this and get it fixed,1
247,Awesome,"The Real Buds 2 (Feel The Real Bass)


Design & Fit 5 - ⭐⭐⭐⭐⭐
Sound Clarity & Bass 5 - ⭐⭐⭐ ⭐⭐
Value For Money 5 - ⭐⭐⭐⭐⭐

I Am Using For My OnePlus 6T ,I Got Best Budget Earphone From Realme 🙏🙏
& Thanks To Flipkart Team For Within 2day FastDelivery ...

Just Add To Cart & Buy This , Don't Wait.........",5
248,Delightful,Good bass over all nice i get Rs599 MRP price is 699 if you are getting under 500 then best,4
249,Must buy!,Excellent product it has amazing sound and amazing bass It is better that jbl and boat and value for money,5
250,Delightful,"It's good and excellent for PUBG Gaming but the Base is only experiencenced well when the sound is High ...and if we hear songs at loud Voice then the Base works good but also affects ears.
🙏🤟",4
251,Awesome,"Writing review after 6 months of daily use..
Personally i use earphones on daily basis. When i upgraded to these earphones, their design and build quality impressed me. In the first month it became too wet due to rain but still these works the same way as they were on first day.
Good product.",5
252,Fabulous!,"I really love this headphone, bass just awesome and sound quality is very good for me... & Quality also good...& Last one is Price very reasonable...",5
253,Worth every penny,Good quality headphone so nice amazing bass and sound is very good,5
254,Super!,"bass Is awesome And Clarity Is also Descent
Bulit Quality Is really good Very Durable Cable Quality
really Liked The Products
Let's See How Long does It Last for?",5
255,Great product,"I don't know much about the technicality of the earphones but the sound output from these earphones is pretty good for its price , sound coming from them is crystal clear ,these are undoubtedly the best earphones in this price range.",5
256,Simply awesome,"NICE PRODUCT... WORTH BUYING.....!!!!


Its a Signature sound by Realme India..
I love the sound... Best in Segment.

@REALME INDIA.",5
257,Terrific,"Head set is just awesome must buy...
The bass is fab....i just loved it...Thank you realme 😍 and thank you flipkart😍 the sound clarity is superb
Sound quality is excellent...😍
The way they packed is just wow...i like it...delivered on time😍
Nice design and nice colour combination...the realme is just shocking me always...classy and standard product...
Product grandness is just awesome
No words...❤ always falling love with Realme and Flipkart 😘 thank you so much...😘😘",5
258,Best in the market!,I am happy good quality product. Nice bass and sound clarity,5
259,Simply awesome,"Pros:
1.Sound is crisp and Clear
2.Bass is Awsome
3.Design and build quality excellent
4.Cable organizer is usefull to carry pick up your earphone safetly
5.Call quality is clearly delivered to whos speak with us

cons:
1. its a straight cable not triangle
2.Not Gold plated 3.5mm Jack",5
260,Good quality product,Sound quality is acceptable with price range.bass quality is super . Design and build quality is good but personally i Don't like tha wair .all thing is good is this price segment but i have some issue with this mic and the bottoms .,4
